client_id,y
2260178,yes
7919588,yes
3688831,yes
5564829,yes
1455191,yes
4396066,yes
2520552,yes
5249270,no
5826757,yes
7145393,yes
7802324,yes
5911727,no
4708241,yes
2803029,no
1714669,yes
8363978,yes
6049432,yes
8753783,yes
2709276,yes
1796453,no
2787813,no
5296071,yes
1531623,yes
9041697,yes
5943150,no
1681184,yes
5865182,yes
3396092,yes
6573033,yes
9959002,no
3164379,yes
4534414,yes
4450315,yes
4636798,yes
5819321,no
3434263,no
6697524,yes
4371451,yes
8393824,no
4505113,yes
7601088,yes
6676483,yes
7034537,yes
4276385,yes
3011542,yes
8923311,yes
5122963,yes
6739138,yes
4040630,yes
9530855,yes
3779072,yes
7969205,yes
6749095,yes
2662658,yes
1797385,no
9122890,no
4901592,yes
5007297,yes
1452034,yes
1401367,yes
9194125,yes
9806017,no
1201249,no
4181873,yes
7032557,yes
2880899,yes
3184611,yes
4032411,yes
7093371,yes
9126490,yes
5943436,yes
4460660,yes
1681974,yes
2964171,yes
5361888,yes
3768594,yes
1762520,no
1611838,yes
3054039,no
9667932,no
5796899,yes
7865627,yes
6233854,no
5474814,yes
1424310,yes
6085426,yes
7778238,no
2314570,no
2658021,yes
6733706,yes
1862195,yes
4536773,no
7038090,no
3997656,yes
2008548,yes
2760412,no
9886981,yes
8810972,yes
3540269,yes
9594434,yes
7156689,yes
1851979,yes
2667181,no
8697229,yes
5616656,yes
2453419,no
5507831,no
9832548,yes
7557329,yes
8122428,yes
4963593,yes
7951997,yes
2109610,yes
7547189,yes
5202846,yes
2686776,yes
6092455,yes
6687551,yes
7452001,yes
7401599,yes
2228954,yes
5174042,yes
8572537,yes
9499590,no
5811346,yes
7413022,yes
8440249,yes
2384789,yes
3556721,yes
9532345,yes
3316040,yes
3733203,yes
8430898,yes
1071442,no
6956142,yes
9368774,yes
6076005,no
8711556,yes
5207944,yes
2060611,yes
3859730,yes
7879328,no
3993179,yes
1450937,yes
7670609,yes
6450075,no
5597209,yes
6347594,yes
2122679,yes
1311373,yes
2326586,yes
4058286,yes
6963260,no
6591815,no
7255639,yes
3618519,no
3249397,no
3517921,yes
6616566,yes
5678845,yes
9840250,yes
6803896,no
9816058,yes
6521353,yes
4692121,yes
8736350,no
5457822,yes
8753500,no
6712035,yes
9191540,yes
9234097,no
8509042,yes
8108545,yes
8947110,no
5911724,no
1187004,no
7360489,no
9966684,yes
7454895,no
3863795,yes
4039632,no
4479107,no
2446900,yes
1879774,yes
9311086,yes
9438879,no
2500624,yes
9036935,yes
7789458,yes
4326103,yes
6768125,yes
1840252,no
3263722,yes
8944174,no
